Date,AAPL,^GSPC
2020-12-31,132.69000244140625,3756.070068359375
2021-01-04,129.41000366210938,3700.64990234375
2021-01-05,131.00999450683594,3726.860107421875
2021-01-06,126.5999984741211,3748.139892578125
2021-01-07,130.9199981689453,3803.7900390625
2021-01-08,132.0500030517578,3824.679931640625
2021-01-11,128.97999572753906,3799.610107421875
2021-01-12,128.8000030517578,3801.18994140625
2021-01-13,130.88999938964844,3809.840087890625
2021-01-14,128.91000366210938,3795.5400390625
2021-01-15,127.13999938964844,3768.25
2021-01-19,127.83000183105469,3798.909912109375
2021-01-20,132.02999877929688,3851.85009765625
2021-01-21,136.8699951171875,3853.070068359375
2021-01-22,139.07000732421875,3841.469970703125
2021-01-25,142.9199981689453,3855.360107421875
2021-01-26,143.16000366210938,3849.6201171875
2021-01-27,142.05999755859375,3750.77001953125
2021-01-28,137.08999633789062,3787.3798828125
2021-01-29,131.9600067138672,3714.239990234375
2021-02-01,134.13999938964844,3773.860107421875
2021-02-02,134.99000549316406,3826.31005859375
2021-02-03,133.94000244140625,3830.169921875
2021-02-04,137.38999938964844,3871.739990234375
2021-02-05,136.75999450683594,3886.830078125
2021-02-08,136.91000366210938,3915.590087890625
2021-02-09,136.00999450683594,3911.22998046875
2021-02-10,135.38999938964844,3909.8798828125
2021-02-11,135.1300048828125,3916.3798828125
2021-02-12,135.3699951171875,3934.830078125
2021-02-16,133.19000244140625,3932.590087890625
2021-02-17,130.83999633789062,3931.330078125
2021-02-18,129.7100067138672,3913.969970703125
2021-02-19,129.8699951171875,3906.7099609375
2021-02-22,126.0,3876.5
2021-02-23,125.86000061035156,3881.3701171875
2021-02-24,125.3499984741211,3925.429931640625
2021-02-25,120.98999786376953,3829.340087890625
2021-02-26,121.26000213623047,3811.14990234375
2021-03-01,127.79000091552734,3901.820068359375
2021-03-02,125.12000274658203,3870.2900390625
2021-03-03,122.05999755859375,3819.719970703125
2021-03-04,120.12999725341797,3768.469970703125
2021-03-05,121.41999816894531,3841.93994140625
2021-03-08,116.36000061035156,3821.35009765625
2021-03-09,121.08999633789062,3875.43994140625
2021-03-10,119.9800033569336,3898.81005859375
2021-03-11,121.95999908447266,3939.340087890625
2021-03-12,121.02999877929688,3943.340087890625
2021-03-15,123.98999786376953,3968.93994140625
2021-03-16,125.56999969482422,3962.7099609375
2021-03-17,124.76000213623047,3974.1201171875
2021-03-18,120.52999877929688,3915.4599609375
2021-03-19,119.98999786376953,3913.10009765625
2021-03-22,123.38999938964844,3940.590087890625
2021-03-23,122.54000091552734,3910.52001953125
2021-03-24,120.08999633789062,3889.139892578125
2021-03-25,120.58999633789062,3909.52001953125
2021-03-26,121.20999908447266,3974.5400390625
2021-03-29,121.38999938964844,3971.090087890625
2021-03-30,119.9000015258789,3958.550048828125
2021-03-31,122.1500015258789,3972.889892578125
2021-04-01,123.0,4019.8701171875
2021-04-05,125.9000015258789,4077.909912109375
2021-04-06,126.20999908447266,4073.93994140625
2021-04-07,127.9000015258789,4079.949951171875
2021-04-08,130.36000061035156,4097.169921875
2021-04-09,133.0,4128.7998046875
2021-04-12,131.24000549316406,4127.990234375
2021-04-13,134.42999267578125,4141.58984375
2021-04-14,132.02999877929688,4124.66015625
2021-04-15,134.5,4170.419921875
2021-04-16,134.16000366210938,4185.47021484375
2021-04-19,134.83999633789062,4163.259765625
2021-04-20,133.11000061035156,4134.93994140625
2021-04-21,133.5,4173.419921875
2021-04-22,131.94000244140625,4134.97998046875
2021-04-23,134.32000732421875,4180.169921875
2021-04-26,134.72000122070312,4187.6201171875
2021-04-27,134.38999938964844,4186.72021484375
2021-04-28,133.5800018310547,4183.18017578125
2021-04-29,133.47999572753906,4211.47021484375
2021-04-30,131.4600067138672,4181.169921875
2021-05-03,132.5399932861328,4192.66015625
2021-05-04,127.8499984741211,4164.66015625
2021-05-05,128.10000610351562,4167.58984375
2021-05-06,129.74000549316406,4201.6201171875
2021-05-07,130.2100067138672,4232.60009765625
2021-05-10,126.8499984741211,4188.43017578125
2021-05-11,125.91000366210938,4152.10009765625
2021-05-12,122.7699966430664,4063.0400390625
2021-05-13,124.97000122070312,4112.5
2021-05-14,127.44999694824219,4173.85009765625
2021-05-17,126.2699966430664,4163.2900390625
2021-05-18,124.8499984741211,4127.830078125
2021-05-19,124.69000244140625,4115.68017578125
2021-05-20,127.30999755859375,4159.1201171875
2021-05-21,125.43000030517578,4155.85986328125
2021-05-24,127.0999984741211,4197.0498046875
2021-05-25,126.9000015258789,4188.1298828125
2021-05-26,126.8499984741211,4195.990234375
2021-05-27,125.27999877929688,4200.8798828125
2021-05-28,124.61000061035156,4204.10986328125
2021-06-01,124.27999877929688,4202.0400390625
2021-06-02,125.05999755859375,4208.1201171875
2021-06-03,123.54000091552734,4192.85009765625
2021-06-04,125.88999938964844,4229.89013671875
2021-06-07,125.9000015258789,4226.52001953125
2021-06-08,126.73999786376953,4227.259765625
2021-06-09,127.12999725341797,4219.5498046875
2021-06-10,126.11000061035156,4239.18017578125
2021-06-11,127.3499984741211,4247.43994140625
2021-06-14,130.47999572753906,4255.14990234375
2021-06-15,129.63999938964844,4246.58984375
2021-06-16,130.14999389648438,4223.7001953125
2021-06-17,131.7899932861328,4221.85986328125
2021-06-18,130.4600067138672,4166.4501953125
2021-06-21,132.3000030517578,4224.7900390625
2021-06-22,133.97999572753906,4246.43994140625
2021-06-23,133.6999969482422,4241.83984375
2021-06-24,133.41000366210938,4266.490234375
2021-06-25,133.11000061035156,4280.7001953125
2021-06-28,134.77999877929688,4290.60986328125
2021-06-29,136.3300018310547,4291.7998046875
2021-06-30,136.9600067138672,4297.5
2021-07-01,137.27000427246094,4319.93994140625
2021-07-02,139.9600067138672,4352.33984375
2021-07-06,142.02000427246094,4343.5400390625
2021-07-07,144.57000732421875,4358.1298828125
2021-07-08,143.24000549316406,4320.81982421875
2021-07-09,145.11000061035156,4369.5498046875
2021-07-12,144.5,4384.6298828125
2021-07-13,145.63999938964844,4369.2099609375
2021-07-14,149.14999389648438,4374.2998046875
2021-07-15,148.47999572753906,4360.02978515625
2021-07-16,146.38999938964844,4327.16015625
2021-07-19,142.4499969482422,4258.490234375
2021-07-20,146.14999389648438,4323.06005859375
2021-07-21,145.39999389648438,4358.68994140625
2021-07-22,146.8000030517578,4367.47998046875
2021-07-23,148.55999755859375,4411.7900390625
2021-07-26,148.99000549316406,4422.2998046875
2021-07-27,146.77000427246094,4401.4599609375
2021-07-28,144.97999572753906,4400.64013671875
2021-07-29,145.63999938964844,4419.14990234375
2021-07-30,145.86000061035156,4395.259765625
2021-08-02,145.52000427246094,4387.16015625
2021-08-03,147.36000061035156,4423.14990234375
2021-08-04,146.9499969482422,4402.66015625
2021-08-05,147.05999755859375,4429.10009765625
2021-08-06,146.13999938964844,4436.52001953125
2021-08-09,146.08999633789062,4432.35009765625
2021-08-10,145.60000610351562,4436.75
2021-08-11,145.86000061035156,4442.41015625
2021-08-12,148.88999938964844,4460.830078125
2021-08-13,149.10000610351562,4468.0
2021-08-16,151.1199951171875,4479.7099609375
2021-08-17,150.19000244140625,4448.080078125
2021-08-18,146.36000061035156,4400.27001953125
2021-08-19,146.6999969482422,4405.7998046875
2021-08-20,148.19000244140625,4441.669921875
2021-08-23,149.7100067138672,4479.52978515625
2021-08-24,149.6199951171875,4486.22998046875
2021-08-25,148.36000061035156,4496.18994140625
2021-08-26,147.5399932861328,4470.0
2021-08-27,148.60000610351562,4509.3701171875
2021-08-30,153.1199951171875,4528.7900390625
2021-08-31,151.8300018310547,4522.68017578125
2021-09-01,152.50999450683594,4524.08984375
2021-09-02,153.64999389648438,4536.9501953125
2021-09-03,154.3000030517578,4535.43017578125
2021-09-07,156.69000244140625,4520.02978515625
2021-09-08,155.11000061035156,4514.06982421875
2021-09-09,154.07000732421875,4493.27978515625
2021-09-10,148.97000122070312,4458.580078125
2021-09-13,149.5500030517578,4468.72998046875
2021-09-14,148.1199951171875,4443.0498046875
2021-09-15,149.02999877929688,4480.7001953125
2021-09-16,148.7899932861328,4473.75
2021-09-17,146.05999755859375,4432.990234375
2021-09-20,142.94000244140625,4357.72998046875
2021-09-21,143.42999267578125,4354.18994140625
2021-09-22,145.85000610351562,4395.64013671875
2021-09-23,146.8300018310547,4448.97998046875
2021-09-24,146.9199981689453,4455.47998046875
2021-09-27,145.3699951171875,4443.10986328125
2021-09-28,141.91000366210938,4352.6298828125
2021-09-29,142.8300018310547,4359.4599609375
2021-09-30,141.5,4307.5400390625
2021-10-01,142.64999389648438,4357.0400390625
2021-10-04,139.13999938964844,4300.4599609375
2021-10-05,141.11000061035156,4345.72021484375
2021-10-06,142.0,4363.5498046875
2021-10-07,143.2899932861328,4399.759765625
2021-10-08,142.89999389648438,4391.33984375
2021-10-11,142.80999755859375,4361.18994140625
2021-10-12,141.50999450683594,4350.64990234375
2021-10-13,140.91000366210938,4363.7998046875
2021-10-14,143.75999450683594,4438.259765625
2021-10-15,144.83999633789062,4471.3701171875
2021-10-18,146.5500030517578,4486.4599609375
2021-10-19,148.75999450683594,4519.6298828125
2021-10-20,149.25999450683594,4536.18994140625
2021-10-21,149.47999572753906,4549.77978515625
2021-10-22,148.69000244140625,4544.89990234375
2021-10-25,148.63999938964844,4566.47998046875
2021-10-26,149.32000732421875,4574.7900390625
2021-10-27,148.85000610351562,4551.68017578125
2021-10-28,152.57000732421875,4596.419921875
2021-10-29,149.8000030517578,4605.3798828125
2021-11-01,148.9600067138672,4613.669921875
2021-11-02,150.02000427246094,4630.64990234375
2021-11-03,151.49000549316406,4660.56982421875
2021-11-04,150.9600067138672,4680.06005859375
2021-11-05,151.27999877929688,4697.52978515625
2021-11-08,150.44000244140625,4701.7001953125
2021-11-09,150.80999755859375,4685.25
2021-11-10,147.9199981689453,4646.7099609375
2021-11-11,147.8699951171875,4649.27001953125
2021-11-12,149.99000549316406,4682.85009765625
2021-11-15,150.0,4682.7998046875
2021-11-16,151.0,4700.89990234375
2021-11-17,153.49000549316406,4688.669921875
2021-11-18,157.8699951171875,4704.5400390625
2021-11-19,160.5500030517578,4697.9599609375
2021-11-22,161.02000427246094,4682.93994140625
2021-11-23,161.41000366210938,4690.7001953125
2021-11-24,161.94000244140625,4701.4599609375
2021-11-26,156.80999755859375,4594.6201171875
2021-11-29,160.24000549316406,4655.27001953125
2021-11-30,165.3000030517578,4567.0
2021-12-01,164.77000427246094,4513.0400390625
2021-12-02,163.75999450683594,4577.10009765625
2021-12-03,161.83999633789062,4538.43017578125
2021-12-06,165.32000732421875,4591.669921875
2021-12-07,171.17999267578125,4686.75
2021-12-08,175.0800018310547,4701.2099609375
2021-12-09,174.55999755859375,4667.4501953125
2021-12-10,179.4499969482422,4712.02001953125
2021-12-13,175.74000549316406,4668.97021484375
2021-12-14,174.3300018310547,4634.08984375
2021-12-15,179.3000030517578,4709.85009765625
2021-12-16,172.25999450683594,4668.669921875
2021-12-17,171.13999938964844,4620.64013671875
2021-12-20,169.75,4568.02001953125
2021-12-21,172.99000549316406,4649.22998046875
2021-12-22,175.63999938964844,4696.56005859375
2021-12-23,176.27999877929688,4725.7900390625
2021-12-27,180.3300018310547,4791.18994140625
2021-12-28,179.2899932861328,4786.35009765625
2021-12-29,179.3800048828125,4793.06005859375
2021-12-30,178.1999969482422,4778.72998046875
2021-12-31,177.57000732421875,4766.18017578125
2022-01-03,182.00999450683594,4796.56005859375
2022-01-04,179.6999969482422,4793.5400390625
2022-01-05,174.9199981689453,4700.580078125
2022-01-06,172.0,4696.0498046875
2022-01-07,172.1699981689453,4677.02978515625
2022-01-10,172.19000244140625,4670.2900390625
2022-01-11,175.0800018310547,4713.06982421875
2022-01-12,175.52999877929688,4726.35009765625
2022-01-13,172.19000244140625,4659.02978515625
2022-01-14,173.07000732421875,4662.85009765625
2022-01-18,169.8000030517578,4577.10986328125
2022-01-19,166.22999572753906,4532.759765625
2022-01-20,164.50999450683594,4482.72998046875
2022-01-21,162.41000366210938,4397.93994140625
2022-01-24,161.6199951171875,4410.1298828125
2022-01-25,159.77999877929688,4356.4501953125
2022-01-26,159.69000244140625,4349.93017578125
2022-01-27,159.22000122070312,4326.509765625
2022-01-28,170.3300018310547,4431.85009765625
2022-01-31,174.77999877929688,4515.5498046875
2022-02-01,174.61000061035156,4546.5400390625
2022-02-02,175.83999633789062,4589.3798828125
2022-02-03,172.89999389648438,4477.43994140625
2022-02-04,172.38999938964844,4500.52978515625
2022-02-07,171.66000366210938,4483.8701171875
2022-02-08,174.8300018310547,4521.5400390625
2022-02-09,176.27999877929688,4587.18017578125
2022-02-10,172.1199951171875,4504.080078125
2022-02-11,168.63999938964844,4418.64013671875
2022-02-14,168.8800048828125,4401.669921875
2022-02-15,172.7899932861328,4471.06982421875
2022-02-16,172.5500030517578,4475.009765625
2022-02-17,168.8800048828125,4380.259765625
2022-02-18,167.3000030517578,4348.8701171875
2022-02-22,164.32000732421875,4304.759765625
2022-02-23,160.07000732421875,4225.5
2022-02-24,162.74000549316406,4288.7001953125
2022-02-25,164.85000610351562,4384.64990234375
2022-02-28,165.1199951171875,4373.93994140625
2022-03-01,163.1999969482422,4306.259765625
2022-03-02,166.55999755859375,4386.5400390625
2022-03-03,166.22999572753906,4363.490234375
2022-03-04,163.1699981689453,4328.8701171875
2022-03-07,159.3000030517578,4201.08984375
2022-03-08,157.44000244140625,4170.7001953125
2022-03-09,162.9499969482422,4277.8798828125
2022-03-10,158.52000427246094,4259.52001953125
2022-03-11,154.72999572753906,4204.31005859375
2022-03-14,150.6199951171875,4173.10986328125
2022-03-15,155.08999633789062,4262.4501953125
2022-03-16,159.58999633789062,4357.85986328125
2022-03-17,160.6199951171875,4411.669921875
2022-03-18,163.97999572753906,4463.1201171875
2022-03-21,165.3800048828125,4461.18017578125
2022-03-22,168.82000732421875,4511.60986328125
2022-03-23,170.2100067138672,4456.240234375
2022-03-24,174.07000732421875,4520.16015625
2022-03-25,174.72000122070312,4543.06005859375
2022-03-28,175.60000610351562,4575.52001953125
2022-03-29,178.9600067138672,4631.60009765625
2022-03-30,177.77000427246094,4602.4501953125
2022-03-31,174.61000061035156,4530.41015625
